name,neighborhood,avg_rating,#_of_ratings,avg_cost,avg_cost_2,cash_cards?,variable,value
Café São Brás,São Brás,-,0,8 € for two people (approx.),8,Cash only,cuisine1,Cafe
Lisboa Tu e Eu Bistrô Flores,Príncipe Real,3.3,5,25 € for two people (approx.),25,Cash only,cuisine1,Portuguese
O Américo,Alcabideche,3.2,0,30 € for two people (approx.),30,Cash only,cuisine1,Portuguese
La Nonna,Barreiro Centro,4.3,173,30 € for two people (approx.),30,Cash and Cards accepted,cuisine1,Italian
Vila Nova,Amora,-,0,10 € for two people (approx.),10,Cash only,cuisine1,Cafe
Beira-Rio,Santo Antão do Tojal,3.5,9,20 € for two people (approx.),20,"Cash, Debit Cards and Meal Coupons accepted",cuisine1,Portuguese
El Rei Dom Dinis,Odivelas Centro,4.0,85,10 € for two people (approx.),10,Cash only,cuisine1,Bakery
Solita,Areeiro,3.1,2,6 € for two people (approx.),6,Cash only,cuisine1,Finger Food
LAB gelati,Parede,3.8,33,6 € for two people (approx.),6,Cash and Debit Cards accepted,cuisine1,Ice Cream
Churrasqueira Frango Beirão,São Brás,3.7,21,15 € for two people (approx.),15,Cash and Debit Cards accepted,cuisine1,BBQ
"Villa Saboia - Food, Soul & Drinks",Estoril,4.3,350,40 € for two people (approx.),40,Cards only,cuisine1,Sushi
A Nortenha,Azeitão,3.9,65,25 € for two people (approx.),25,Cash only,cuisine1,Portuguese
Lugar de Fala,Santa Apolónia,-,1,10 € for two people (approx.) with alcohol,10,Cash only,cuisine1,Tapas
Papa Brunos,Estoril,3.4,6,20 € for two people (approx.),20,Cash and Debit Cards accepted,cuisine1,Pizza
Fukusun,Cascais Centro,3.8,98,30 € for two people (approx.),30,Cash and Debit Cards accepted,cuisine1,Chinese
Just Bar,Barreiro Centro,-,0,30 € for two people (approx.) with alcohol,30,Cash and Cards accepted,cuisine1,Beverages
Grupo de Dadores de Sangue do Barreiro,Barreiro Centro,-,1,8 € for two people (approx.),8,Cash only,cuisine1,Finger Food
O Ferrador,Alto do Pina,3.0,0,6 € for two people (approx.),6,Cash and Debit Cards accepted,cuisine1,Finger Food
Kebab Amin,Areeiro,3.4,8,15 € for two people (approx.),15,Cash only,cuisine1,Kebab
A Cantina,Loures Centro,-,0,15 € for two people (approx.),15,Cash only,cuisine1,Portuguese
Restaurante Benfikista,Cascais Centro,3.3,22,25 € for two people (approx.),25,Cash and Debit Cards accepted,cuisine1,Portuguese
Ruca,Baixa,3.6,18,30 € for two people (approx.),30,Cash and Cards accepted,cuisine1,Portuguese
Quintal das Docas,Alcântara,3.7,23,40 € for two people (approx.),40,Cash and Cards accepted,cuisine1,Steak
Drogaria,Lapa-Estrela,3.6,14,55 € for two people (approx.),55,Cash and Cards accepted,cuisine1,Portuguese
Belavista Bar - Hotel Praia Mar,Carcavelos,3.2,2,15 € for two people (approx.),15,Cash and Cards accepted,cuisine1,Beverages
Soya Noodle Bar,Cascais Centro,3.7,19,25 € for two people (approx.),25,Cash and Debit Cards accepted,cuisine1,Chinese
Chú-Chú,Avenida da Liberdade,3.9,112,30 € for two people (approx.),30,Cash and Cards accepted,cuisine1,Portuguese
Brooklyn,Avenida da Liberdade,3.9,95,20 € for two people (approx.),20,Cash and Cards accepted,cuisine1,Portuguese
A Triunfante de Alvalade,Alvalade,3.2,15,20 € for two people (approx.),20,Cash and Cards accepted,cuisine1,Portuguese
Casa Martins,Parede,3.3,2,5 € for two people (approx.),5,Cash only,cuisine1,Cafe
Pica Pau,Venda Nova,3.4,4,13 € for two people (approx.),13,Cash only,cuisine1,Portuguese
Bar da Esquina,Bairro Alto,3.2,4,10 € for two people (approx.) with alcohol,10,Cash only,cuisine1,Drinks Only
FN & Singer,Barreiro Centro,-,0,20 € for two people (approx.) with alcohol,20,Cash only,cuisine1,Beverages
O Alentejano,Rio de Mouro,4.2,73,35 € for two people (approx.),35,Cash only,cuisine1,Alentejana
Epur,Chiado,4.1,41,70 € for two people (approx.),70,Cash and Cards accepted,cuisine1,Contemporary
Maritaca,Lapa-Estrela,4.4,372,25 € for two people (approx.),25,Cash and Debit Cards accepted,cuisine1,Pizza
Quinta Avenida,Campolide,2.9,6,12 € for two people (approx.),12,Debit Cards accepted,cuisine1,Portuguese
Cantina Indiana,Telheiras,4.2,547,20 € for two people (approx.),20,Cash and Debit Cards accepted,cuisine1,Indian
Ayako,Moscavide,3.7,23,20 € for two people (approx.),20,Cash only,cuisine1,Chinese
Can the Can,Baixa,3.8,165,45 € for two people (approx.),45,Cash and Cards accepted,cuisine1,Mediterranean
Pastelaria Cisne,São Brás,3.0,13,8 € for two people (approx.),8,Cash only,cuisine1,Cafe
A. Costa,Graça,3.6,11,16 € for two people (approx.),16,Cash and Debit Cards accepted,cuisine1,African
X-M Croissanteria,Arroios,3.4,7,20 € for two people (approx.),20,Cash only,cuisine1,Cafe
Pastelaria A Quinta,Alfragide,3.1,2,15 € for two people (approx.),15,Cash only,cuisine1,Cafe
Sabores do Mercado,Benfica,-,1,12 € for two people (approx.),12,Cash only,cuisine1,Portuguese
Granos Espaço Vegetariano,Campo de Ourique,3.7,13,15 € for two people (approx.),15,Cash only,cuisine1,Cafe
Ritual Caffé,Rossio,2.9,6,8 € for two people (approx.),8,Cash only,cuisine1,Cafe
Grande Escolha,Turcifal,3.6,9,70 € for two people (approx.),70,Cash and Cards accepted,cuisine1,Mediterranean
Restaurante Paris,Póvoa de Santa Iria,-,1,20 € for two people (approx.),20,Cash only,cuisine1,Portuguese
Churrasqueira de Bairro,Alfornelos,3.3,7,5 € for two people (approx.),5,Cash and Debit Cards accepted,cuisine1,Finger Food
Take it! Takeaway,Algés,3.3,4,20 € for two people (approx.),20,Cash and Debit Cards accepted,cuisine1,Portuguese
Restaurante Azul e Branco - H10 Duque de Loulé,Marquês de Pombal,4.1,63,50 € for two people (approx.),50,Cash and Cards accepted,cuisine1,Portuguese
Segredos Rústicos,São Pedro da Cadeira,3.1,4,15 € for two people (approx.),15,Cash only,cuisine1,BBQ
Pastelaria Portugal,Arroios,3.5,7,6 € for two people (approx.),6,Cash only,cuisine1,Portuguese
YASO Ramen & Kushiyaki,Campo Pequeno,3.8,47,30 € for two people (approx.),30,Cash and Cards accepted,cuisine1,Japanese
Flôr da Leziria,Vila Franca de Xira Centro,-,0,7 € for two people (approx.),7,Cash and Debit Cards accepted,cuisine1,Finger Food
Churrasqueira Santa Iria,Santa Iria da Azóia,3.5,17,15 € for two people (approx.),15,Cash and Debit Cards accepted,cuisine1,BBQ
Pizzeria Gordos,São Pedro do Estoril,3.8,125,25 € for two people (approx.),25,Cash only,cuisine1,Pizza
Ágora Café,Parque das Nações,2.7,40,20 € for two people (approx.),20,Cash and Cards accepted,cuisine1,Portuguese
Pastelaria Moinho,Colares,3.7,11,10 € for two people (approx.),10,Debit Cards accepted,cuisine1,Cafe
Búzios Good Times,Santa Cruz,3.3,5,25 € for two people (approx.),25,Cash and Debit Cards accepted,cuisine1,Seafood
Tasca do Nuno,Linda-a-Velha,3.5,19,25 € for two people (approx.),25,Cash and Debit Cards accepted,cuisine1,Portuguese
Churrasqueira Pirescoxe,Santa Iria da Azóia,3.3,5,12 € for two people (approx.),12,Cash and Debit Cards accepted,cuisine1,BBQ
Franguia,Massamá,4.2,127,25 € for two people (approx.),25,Cash and Debit Cards accepted,cuisine1,Grill
Bioino Mercearia Biológica,Parque das Nações,3.5,8,20 € for two people (approx.),20,Cash and Debit Cards accepted,cuisine1,Cafe
Bar do Moinho,Carcavelos,2.7,129,15 € for two people (approx.),15,Debit Cards accepted,cuisine1,Finger Food
Taverna do Henrique,Alcabideche,3.1,2,5 € for two people (approx.),5,Cash only,cuisine1,Finger Food
Fratelli,Alcochete Centro,2.8,38,20 € for two people (approx.),20,Cash only,cuisine1,Italian
O Pascoal,Brejoeira,2.8,13,30 € for two people (approx.),30,Cash and Debit Cards accepted,cuisine1,Portuguese
O Caçador,Ajuda,2.8,13,25 € for two people (approx.),25,Debit Cards accepted,cuisine1,Portuguese
Semente,Entrecampos,3.2,2,8 € for two people (approx.),8,Cash only,cuisine1,Cafe
St. António do Adopisco,São Domingos de Benfica,-,0,13 € for two people (approx.),13,Cash only,cuisine1,Portuguese
Pizzeria Pão d'Alho,Ericeira,4.1,175,30 € for two people (approx.),30,Cash and Debit Cards accepted,cuisine1,Italian
Oficina de Momentos,Setubal Centro,3.6,26,30 € for two people (approx.),30,Cash and Debit Cards accepted,cuisine1,Portuguese
Ama Caffé,Torre da Marinha,-,1,10 € for two people (approx.),10,Cash and Cards accepted,cuisine1,Portuguese
Associação,Chiado,4.2,151,50 € for two people (approx.),50,Cash only,cuisine1,Portuguese
A Paragem,São Brás,3.9,62,25 € for two people (approx.),25,Cash and Debit Cards accepted,cuisine1,Portuguese
A Nossa Taska,Bica,3.9,123,25 € for two people (approx.),25,Cash and Debit Cards accepted,cuisine1,Portuguese
O Laranjal 2,São Domingos de Benfica,3.4,17,15 € for two people (approx.),15,Cash only,cuisine1,Portuguese
Tasca do Jaime,Graça,3.8,35,15 € for two people (approx.),15,Cash only,cuisine1,Portuguese
Esplanada Tejo,Caparica,-,0,8 € for two people (approx.),8,Cash only,cuisine1,Cafe
O Frango,Brandoa,3.3,4,12 € for two people (approx.),12,Cash and Debit Cards accepted,cuisine1,BBQ
Pau de Canela,Vila Franca de Xira Centro,-,0,6 € for two people (approx.),6,Cash only,cuisine1,Cafe
Lagoa Azul,Venteira,3.5,36,25 € for two people (approx.),25,Cash only,cuisine1,Portuguese
Le Swing Club House,Belas,-,1,40 € for two people (approx.),40,Cash and Debit Cards accepted,cuisine1,Portuguese
Antiga Casa de Alambique,Santa Apolónia,3.0,2,6 € for two people (approx.),6,Cash only,cuisine1,Finger Food
Kolmeia De Mel,Reboleira,-,0,6 € for two people (approx.),6,Cash and Debit Cards accepted,cuisine1,Cafe
Burger O'clock,Sesimbra Centro,3.8,111,16 € for two people (approx.),16,Cash and Cards accepted,cuisine1,Burger
Pequeno Mundo,Olivais,3.1,0,8 € for two people (approx.),8,Cash only,cuisine1,Cafe
Pastelaria Lenita,Queluz,3.1,1,6 € for two people (approx.),6,Cash only,cuisine1,Finger Food
Little Nepal,Sacavém,4.2,256,20 € for two people (approx.),20,Cash and Debit Cards accepted,cuisine1,Nepalese
Cantinho da Preta,Olivais,-,2,6 € for two people (approx.),6,Cash only,cuisine1,Cafe
Restaurante O Furo,Torres Vedras Centro,-,3,25 € for two people (approx.),25,Cash and Debit Cards accepted,cuisine1,Portuguese
Confeitaria Santa Coina,Coina,4.3,75,8 € for two people (approx.),8,Cash and Cards accepted,cuisine1,Cafe
Café com Leite,Belas,2.9,3,6 € for two people (approx.),6,Cash only,cuisine1,Cafe
Direito Bar Café,Benfica,-,3,6 € for two people (approx.),6,Cash only,cuisine1,Finger Food
Eight Coffeetaria & Bar,Massamá,-,3,14 € for two people (approx.),14,Cash only,cuisine1,Finger Food
Caminho da Ronda,Castelo,3.3,4,30 € for two people (approx.),30,Cash and Cards accepted,cuisine1,Portuguese
Coliseu Pizzeria,Beato,3.7,28,20 € for two people (approx.),20,Cash and Debit Cards accepted,cuisine1,Pizza
A Varandinha,Alfragide,3.6,14,22 € for two people (approx.),22,Cash and Debit Cards accepted,cuisine1,Portuguese
Casa Forte,Algés,-,0,8 € for two people (approx.),8,Cash only,cuisine1,Cafe
Restaurante A Pucarinha,Turcifal,-,2,30 € for two people (approx.),30,Cash and Debit Cards accepted,cuisine1,Portuguese
Rafaello,Queluz,3.3,6,15 € for two people (approx.),15,Cash and Debit Cards accepted,cuisine1,Portuguese
Bagga - Colombo,Benfica,2.7,42,6 € for two people (approx.),6,Cash only,cuisine1,Cafe
Café Milénio,Alta de Lisboa,3.1,1,6 € for two people (approx.),6,Cash only,cuisine1,Portuguese
Ti Alcina,Baixa,3.9,21,10 € for two people (approx.),10,Cash and Cards accepted,cuisine1,Portuguese
Solar dos Doces,São Brás,3.3,4,6 € for two people (approx.),6,Cash only,cuisine1,Cafe
La Vecchia Roma II,Oeiras e São Julião da Barra,4.1,373,40 € for two people (approx.),40,Cash and Cards accepted,cuisine1,Italian
Restaurante O Alfredo,São João,-,0,20 € for two people (approx.),20,Cash and Debit Cards accepted,cuisine1,Portuguese
Távola Bar & Lounge,Alvalade,3.3,4,15 € for two people (approx.) with alcohol,15,Cash and Cards accepted,cuisine1,Beverages
Hard Rock Cafe Lisboa,Avenida da Liberdade,4.4,"1,990",50 € for two people (approx.),50,Cash and Cards accepted,cuisine1,American
Jazz Café,Odivelas Centro,3.9,33,20 € for two people (approx.) with alcohol,20,Debit Cards accepted,cuisine1,Beverages
O Pirajá,Beato,3.4,7,20 € for two people (approx.),20,Cash and Cards accepted,cuisine1,Grill
Telepizza,Parque das Nações,2.5,56,20 € for two people (approx.),20,Cash and Cards accepted,cuisine1,Pizza
Fieis n' Atalaia,Bairro Alto,3.5,12,10 € for two people (approx.) with alcohol,10,Cash only,cuisine1,Beverages
Champions Bar,Setubal Centro,-,1,10 € for two people (approx.) with alcohol,10,Cash only,cuisine1,Finger Food
Vício,Santos,3.8,22,18 € for two people (approx.),18,Cash and Debit Cards accepted,cuisine1,Finger Food
Hamburgueria da Portela,Prior Velho,2.6,25,15 € for two people (approx.),15,Cash only,cuisine1,Burger
Frutos Secos do Mercado,Cais do Sodré,3.7,11,6 € for two people (approx.),6,Cash and Cards accepted,cuisine1,Finger Food
Pingo Doce - Café e Bolos,Lapa-Estrela,2.7,7,6 € for two people (approx.),6,Cash and Cards accepted,cuisine1,Cafe
Restaurante As Parreiras,Pena,3.5,7,30 € for two people (approx.),30,Cash only,cuisine1,Portuguese
Restaurante Machadas,Setubal Centro,3.8,27,25 € for two people (approx.),25,Cash and Cards accepted,cuisine1,Tapas
Tasquinha D'u Mar,Alfornelos,3.8,19,30 € for two people (approx.),30,Cash and Debit Cards accepted,cuisine1,Seafood
Sol Nascente,Alverca do Ribatejo,2.7,24,30 € for two people (approx.),30,Cash and Debit Cards accepted,cuisine1,Portuguese
Blue Caffé,Colares,-,3,15 € for two people (approx.),15,Debit Cards accepted,cuisine1,Portuguese
A Chaleira,Carcavelos,3.9,194,15 € for two people (approx.),15,Cash only,cuisine1,Cafe
Varanda da União,Avenida da Liberdade,3.8,70,20 € for two people (approx.),20,Cash and Cards accepted,cuisine1,Portuguese
Portas Verdes da Fonte Santa,Campo de Ourique,3.1,1,20 € for two people (approx.),20,Cash only,cuisine1,Portuguese
Lucky's Bar,Loures Centro,3.6,12,12 € for two people (approx.) with alcohol,12,Cash only,cuisine1,Beverages
Restaurante Orquídea Azul,Paço de Arcos,3.4,5,8 € for two people (approx.),8,Cash only,cuisine1,Portuguese
Hamburgueria 7 Pecados,São Brás,-,3,20 € for two people (approx.),20,Cash and Debit Cards accepted,cuisine1,Burger
Sea Food Restaurant,Baixa,-,0,40 € for two people (approx.),40,Cash and Cards accepted,cuisine1,Seafood
Keshav,Venteira,3.7,39,25 € for two people (approx.),25,Cash and Debit Cards accepted,cuisine1,Indian
Matri Vandar Sweets & Restaurant,Mouraria,-,1,10 € for two people (approx.),10,Cash only,cuisine1,Indian
Bebé Gourmet,Telheiras,-,2,6 € for two people (approx.),6,Cash and Cards accepted,cuisine1,Healthy Food
Lorena,Graça,-,3,15 € for two people (approx.),15,Cash only,cuisine1,Portuguese
O Pescador,Sesimbra Centro,3.3,15,25 € for two people (approx.),25,Cash and Debit Cards accepted,cuisine1,Petiscos
Clube Naval Ericeira,Ericeira,3.7,16,15 € for two people (approx.),15,Cash only,cuisine1,Finger Food
O Fado da Mimi,Alfama,3.3,5,40 € for two people (approx.),40,Cash and Cards accepted,cuisine1,Portuguese
Casa da Pimenta,Quinta do Anjo,3.4,6,40 € for two people (approx.),40,Cash and Debit Cards accepted,cuisine1,Portuguese
Café Faustino,Alta de Lisboa,3.5,11,6 € for two people (approx.),6,Cash only,cuisine1,Cafe
Galeão,Mem Martins,3.6,29,6 € for two people (approx.),6,Cash and Debit Cards accepted,cuisine1,Cafe
Cantinho da Rosa,Bairro Alto,3.7,39,30 € for two people (approx.),30,Cash and Cards accepted,cuisine1,Portuguese
Tasca do Beco,Pena,-,0,15 € for two people (approx.),15,Cash and Debit Cards accepted,cuisine1,Portuguese
A Taska,Cacilhas,-,1,20 € for two people (approx.),20,Cash only,cuisine1,Finger Food
Pizzaria Transalpina,São Domingos de Rana,4.0,111,30 € for two people (approx.),30,Cash and Debit Cards accepted,cuisine1,Pizza
Retiro dos Amigos,Santo António dos Cavaleiros,-,1,15 € for two people (approx.),15,Cash only,cuisine1,Portuguese
O Canastro,Pena,3.3,12,20 € for two people (approx.),20,Cash and Debit Cards accepted,cuisine1,Portuguese
Hops and Drops,Colares,3.4,5,8 € for two people (approx.) with alcohol,8,Cash and Debit Cards accepted,cuisine1,Beverages
Columbia,São Domingos de Benfica,2.9,107,8 € for two people (approx.),8,Cash only,cuisine1,Cafe
A Casa D'a Tribo  - Bar e Armazém Cultural,São João das Lampas,3.4,5,20 € for two people (approx.),20,Cash only,cuisine1,Finger Food
Restaurante Tradicional O João,Sesimbra Centro,3.0,11,30 € for two people (approx.),30,Cash only,cuisine1,Portuguese
Os Amigos,Tires,3.2,1,7 € for two people (approx.),7,Cash only,cuisine1,Petiscos
Gelados Conchanata,Alvalade,4.5,"1,104",10 € for two people (approx.),10,Cash only,cuisine1,Ice Cream
World Sandwich,Campolide,3.4,6,11 € for two people (approx.),11,Cash and Debit Cards accepted,cuisine1,Fast Food
Tik Tak,Ericeira,4.1,141,35 € for two people (approx.),35,Cash and Cards accepted,cuisine1,Portuguese
Grande Mundo - Royal,Belém,3.6,82,25 € for two people (approx.),25,Cash and Cards accepted,cuisine1,Chinese
Beer House,São Domingos de Benfica,3.7,24,15 € for two people (approx.) with alcohol,15,Cash and Debit Cards accepted,cuisine1,Beverages
Astrolábio,Paço de Arcos,3.8,55,50 € for two people (approx.),50,Cash and Cards accepted,cuisine1,Portuguese
Bacano,Mem Martins,3.8,32,25 € for two people (approx.),25,Cash and Cards accepted,cuisine1,Portuguese
O Ti Manel,Mem Martins,3.1,1,20 € for two people (approx.),20,Cash and Debit Cards accepted,cuisine1,Portuguese
Yellow Melon Juice Bar,Almada Centro,3.5,7,20 € for two people (approx.),20,Cash only,cuisine1,Finger Food
Estrela Morena,Príncipe Real,3.9,68,20 € for two people (approx.),20,Cash only,cuisine1,Cape Verdean
Palácio Chiado,Chiado,4.3,143,60 € for two people (approx.),60,Cash and Cards accepted,cuisine1,International
Stadium,Belas,-,1,6 € for two people (approx.),6,Cash only,cuisine1,Finger Food
O Bagatela,Cascais Centro,3.3,7,16 € for two people (approx.),16,Cash and Cards accepted,cuisine1,Fresh Fish
Bar Mare - Grande Real Villa Itália,Cascais Centro,3.2,0,30 € for two people (approx.) with alcohol,30,Cash and Cards accepted,cuisine1,Finger Food
Amaryllis,Barcarena,-,3,6 € for two people (approx.),6,Cash only,cuisine1,Cafe
Everest Curry House,Cascais Centro,-,1,14 € for two people (approx.),14,Cash and Cards accepted,cuisine1,Nepalese
Restaurante Fortaleza,Setubal Centro,-,0,40 € for two people (approx.),40,Cash and Cards accepted,cuisine1,Portuguese
A Bela Morácea,Campolide,3.8,25,20 € for two people (approx.),20,Cash and Cards accepted,cuisine1,Finger Food
O Capote,Costa da Caparica,4.0,58,8 € for two people (approx.),8,Cash only,cuisine1,Cafe
Adrimar  • Mariscos Take-Away,Póvoa de Santo Adrião,3.7,7,40 € for two people (approx.),40,Cash and Cards accepted,cuisine1,Seafood
U.M.I Sushi,Parque das Nações,3.9,79,40 € for two people (approx.),40,Cash and Cards accepted,cuisine1,Japanese
Grill de Korea,Bairro Alto,3.9,22,45 € for two people (approx.),45,Cash only,cuisine1,Korean
Pão na Hora,Cascais Centro,-,1,6 € for two people (approx.),6,Cash only,cuisine1,Bakery
Nazareth,Alverca do Ribatejo,3.1,5,25 € for two people (approx.),25,Cash only,cuisine1,Portuguese
Pastelaria Nilo,Benfica,3.9,125,8 € for two people (approx.),8,Cash and Debit Cards accepted,cuisine1,Cafe
A Vianinha - Panificação Reunida de Queluz,Belas,3.4,4,6 € for two people (approx.),6,Cash only,cuisine1,Bakery
Crouton,Rato,3.8,26,15 € for two people (approx.),15,Cash and Cards accepted,cuisine1,Healthy Food
Bugio Terrace,São Domingos de Rana,4.0,338,20 € for two people (approx.) with alcohol,20,Cash and Debit Cards accepted,cuisine1,Finger Food
Nata Morango,Brandoa,-,0,6 € for two people (approx.),6,Cash only,cuisine1,Portuguese
O Escondidinho,Odivelas Centro,-,0,10 € for two people (approx.),10,Cash only,cuisine1,Finger Food
Woof X,Príncipe Real,-,3,15 € for two people (approx.) with alcohol,15,Cash only,cuisine1,Drinks Only
Os Santinhos,São Domingos de Rana,3.7,44,10 € for two people (approx.),10,Cash and Debit Cards accepted,cuisine1,Finger Food
Café Charcutaria,Beato,3.1,0,12 € for two people (approx.),12,Cash only,cuisine1,Finger Food
Taberna Numerum 1,Linda-a-Velha,-,0,6 € for two people (approx.),6,Cash only,cuisine1,Finger Food
Dom Fernando,Sintra Centro,3.4,4,40 € for two people (approx.),40,Cash only,cuisine1,French
O Grémio,Campo de Ourique,3.5,18,20 € for two people (approx.),20,Cash only,cuisine1,Portuguese
Bijou de Cascais,Cascais Centro,3.7,42,15 € for two people (approx.),15,Cash and Debit Cards accepted,cuisine1,Cafe
Pizza na Brasa,Paço de Arcos,4.0,262,25 € for two people (approx.),25,Cash and Cards accepted,cuisine1,Pizza
The Parq Restaurante,Damaia,3.9,68,32 € for two people (approx.),32,Cash and Cards accepted,cuisine1,Portuguese
Makamba African Kitchen,Alcabideche,-,1,40 € for two people (approx.),40,Cash and Cards accepted,cuisine1,African
Restaurante/Cafetaria do Museu Nacional do Azulejo,São João,3.7,10,30 € for two people (approx.),30,Cards only,cuisine1,Portuguese
Sabor Do Tapitas,Amora,-,1,25 € for two people (approx.),25,Cash only,cuisine1,Portuguese
Retiro dos Amigos,Caparica,-,1,15 € for two people (approx.),15,Cash only,cuisine1,Portuguese
Costa 21,Campo Pequeno,2.9,4,13 € for two people (approx.),13,Cash only,cuisine1,Cafe
IceBurger,Amora,4.0,49,20 € for two people (approx.),20,Cash and Debit Cards accepted,cuisine1,Burger
Pastelaria Moinhos,Alcabideche,3.0,2,10 € for two people (approx.),10,Cash only,cuisine1,Cafe
Smile,São Sebastião,3.6,14,15 € for two people (approx.),15,Cash only,cuisine1,Portuguese
Pastelaria 1500,Lapa-Estrela,3.0,19,16 € for two people (approx.),16,Cash only,cuisine1,Portuguese
François Café Lounge,Odivelas Centro,3.8,67,25 € for two people (approx.) with alcohol,25,Cash and Debit Cards accepted,cuisine1,Beverages
O Solar do Pato,Pontes - Alto da Guerra,3.4,8,30 € for two people (approx.),30,Cash only,cuisine1,Grill
Season,São Bento,4.5,241,50 € for two people (approx.),50,Cash and Debit Cards accepted,cuisine1,Italian
Mel & Rosmaninho,Alcântara,3.4,9,8 € for two people (approx.),8,Cash and Debit Cards accepted,cuisine1,Finger Food
Tokyo Rock Bar,Cais do Sodré,3.7,37,20 € for two people (approx.) with alcohol,20,Cash and Debit Cards accepted,cuisine1,Drinks Only
A Banda Petisqueira,Montijo Centro,3.3,5,30 € for two people (approx.),30,Cash and Debit Cards accepted,cuisine1,Petiscos
Beira Mar,Cascais Centro,3.9,39,70 € for two people (approx.),70,Cash and Cards accepted,cuisine1,Portuguese
B2B - Pizzaria e Gelataria,Alverca do Ribatejo,-,0,10 € for two people (approx.),10,Cash only,cuisine1,Ice Cream
Bar On The Rocks - Farol Hotel,Cascais Centro,3.5,9,20 € for two people (approx.) with alcohol,20,Cash and Cards accepted,cuisine1,Beverages
Café Verde,Damaia,3.1,4,12 € for two people (approx.),12,Cash only,cuisine1,Cafe
First Class Café,Olivais,2.9,5,25 € for two people (approx.),25,Cash only,cuisine1,Portuguese
A Roda do Leme,Setubal Centro,-,3,15 € for two people (approx.) with alcohol,15,Cash only,cuisine1,Finger Food
Doces Salpicos,Santa Apolónia,3.1,3,5 € for two people (approx.),5,Cash and Debit Cards accepted,cuisine1,Cafe
Quiosque Jardim dos Passarinhos,Estoril,3.4,15,8 € for two people (approx.),8,Cash only,cuisine1,Cafe
A Bolota,Marvila,3.0,4,6 € for two people (approx.),6,Cash only,cuisine1,Finger Food
Cela Nova,São João,3.5,7,15 € for two people (approx.),15,Debit Cards accepted,cuisine1,Finger Food
Promar,A-dos-Cunhados,3.7,21,50 € for two people (approx.),50,Cash and Cards accepted,cuisine1,Fresh Fish
O Luciano,Arroios,3.3,3,13 € for two people (approx.),13,Cash only,cuisine1,Portuguese
Bar Ferro Velho,Anjos,-,0,15 € for two people (approx.) with alcohol,15,Cash only,cuisine1,Beverages
O Cantinho do João,Póvoa de Santo Adrião,3.9,41,25 € for two people (approx.),25,Debit Cards accepted,cuisine1,Portuguese
Fenícios,Marquês de Pombal,4.1,340,40 € for two people (approx.),40,Cash and Debit Cards accepted,cuisine1,Lebanese
Núcleo Sportinguista de Sintra,Sintra Centro,3.5,7,10 € for two people (approx.),10,Cash and Debit Cards accepted,cuisine1,Finger Food
Yamato,Cacém,2.7,34,25 € for two people (approx.),25,Cash and Debit Cards accepted,cuisine1,Japanese
Doce & Light,Mina,-,3,13 € for two people (approx.),13,Cash and Debit Cards accepted,cuisine1,Bakery
Os Britos Cafetaria e Cervejaria,Cacém,-,2,12 € for two people (approx.),12,Cash only,cuisine1,Finger Food
Letras Bar,Campo Grande,-,3,8 € for two people (approx.),8,Cash only,cuisine1,Finger Food
A Curva,Vale da Amoreira,3.3,5,30 € for two people (approx.),30,Cash and Debit Cards accepted,cuisine1,Portuguese
Cocktail & Shisha - Bar & Lounge,Príncipe Real,3.8,47,20 € for two people (approx.) with alcohol,20,Cash and Cards accepted,cuisine1,Beverages
Beija Flor,Penha de França,3.0,3,10 € for two people (approx.),10,Cash only,cuisine1,Finger Food
Padaria da Né,Damaia,3.3,4,6 € for two people (approx.),6,Cash only,cuisine1,Bakery
Os Gambozinos - Martinhal Cascais,Guincho,-,0,40 € for two people (approx.),40,Cash and Debit Cards accepted,cuisine1,Italian
Bar Pitch and Putt - Montado Hotel & Golf Resort,Algeruz,-,2,50 € for two people (approx.),50,Cash and Cards accepted,cuisine1,Portuguese
Ora Viva,Marvila,-,1,6 € for two people (approx.),6,Cash only,cuisine1,Finger Food
O Algarvio,Belas,3.2,1,6 € for two people (approx.),6,Cash only,cuisine1,Cafe
Vai Lá Vai,Bairro Alto,3.7,24,30 € for two people (approx.),30,Cash only,cuisine1,Portuguese
Chá de Histórias  - Tostaria e Casa de Chá,Almada Centro,3.5,11,15 € for two people (approx.),15,Cash only,cuisine1,Finger Food
Floresta,Damaia,3.3,1,18 € for two people (approx.),18,Cash only,cuisine1,Portuguese
Zé dos Escapes,Famões,-,1,6 € for two people (approx.),6,Cash only,cuisine1,Finger Food
Mar Até Cá - Casa de Chá,Cajados,4.4,165,15 € for two people (approx.),15,Cash and Cards accepted,cuisine1,Cafe
Arco da Velha,Cais do Sodré,4.3,154,12 € for two people (approx.),12,Cash only,cuisine1,Petiscos
Expostars,Parque das Nações,3.3,7,15 € for two people (approx.),15,Cash and Debit Cards accepted,cuisine1,Fast Food
Snack Bar - Monte Neve,Venteira,-,3,14 € for two people (approx.),14,Cash only,cuisine1,Petiscos
Mundo do Vino,São Bento,4.0,31,25 € for two people (approx.) with alcohol,25,Cash and Cards accepted,cuisine1,Beverages
The Fifties American Diner,Parque das Nações,4.0,"1,994",30 € for two people (approx.),30,Cash and Cards accepted,cuisine1,Burger
Divas,Algés,-,1,10 € for two people (approx.),10,Cash and Debit Cards accepted,cuisine1,Finger Food
